group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 1,CDK7,4.466898,1.1221977,7.93620438852886e-06,1.5602828399352656e-05
Cluster 1,BLVRB,4.46518,0.73013496,8.00015214875963e-06,1.572683948424792e-05
Cluster 1,UFSP2,4.463933,0.5243149,8.046876825183289e-06,1.581680549850353e-05
Cluster 1,FZD7,4.460977,0.8385507,8.15868844996176e-06,1.60332567231918e-05
Cluster 1,TMEM53,4.4587297,1.6209413,8.24467776018708e-06,1.620047780124682e-05
Cluster 1,ZNF614,4.4561753,1.196791,8.34348917317976e-06,1.6392854693643793e-05
Cluster 1,GGCX,4.4549646,1.1029782,8.390693882370042e-06,1.6483806584838797e-05
Cluster 1,ZC3H12C,4.4541435,0.65012527,8.422881127438514e-06,1.6543440004272862e-05
Cluster 1,PLA2G4B,4.4532332,1.1170664,8.458673899638095e-06,1.661193401627675e-05
Cluster 1,MARS2,4.451383,2.0244582,8.531905237553276e-06,1.67539304893146e-05
Cluster 1,IQSEC2,4.4508266,0.5858464,8.554036910083869e-06,1.6795563610122268e-05
Cluster 1,DDX50,4.4500575,0.84887654,8.584726529875994e-06,1.6853989092900708e-05
Cluster 1,C12orf49,4.444734,1.4486749,8.800069210562625e-06,1.727112811698075e-05
Cluster 1,RNF135,4.442641,0.92457575,8.886142501205659e-06,1.7436266574679103e-05
Cluster 1,SEMA4D,4.4396534,0.39914966,9.010383457877852e-06,1.767812956131663e-05
Cluster 1,RGS16,4.4352098,0.68141854,9.198274699546996e-06,1.804480657516781e-05
Cluster 1,IFT140,4.4349036,1.3502609,9.211355373299427e-06,1.8068504815450913e-05
Cluster 1,NXPE2,4.434469,0.9127067,9.229937487186936e-06,1.8102988068167883e-05
Cluster 1,ZNF668,4.4323673,1.1182803,9.320411878976125e-06,1.827845327004245e-05
Cluster 1,ABTB1,4.4314218,0.5022701,9.361386612232351e-06,1.8356816097697015e-05
Cluster 1,PITPNM3,4.4205027,1.1777666,9.84716179641969e-06,1.9303088115474032e-05
Cluster 1,TMEM187,4.4204507,1.5835743,9.849529389826748e-06,1.9305633531042157e-05
Cluster 1,TMEM116,4.4192734,1.0938807,9.903341078739476e-06,1.940900078140628e-05
Cluster 1,CUL9,4.412981,1.0846889,1.019569478273542e-05,1.997763198639716e-05
Cluster 1,INPP5D,4.412187,0.6926189,1.023317325695085e-05,2.004889255441233e-05
Cluster 1,FHIT,4.409786,1.3737786,1.0347280243004566e-05,2.0270252400539865e-05
Cluster 1,MTX3,4.4064817,0.93659586,1.050630954537293e-05,2.057955719387617e-05
Cluster 1,RPP14,4.4055095,1.7188427,1.0553547731754826e-05,2.066984435358229e-05
Cluster 1,WDR81,4.4050555,0.49425572,1.0575672247277951e-05,2.071093042417799e-05
Cluster 1,RGL1,4.4028077,0.28972208,1.0685897362380318e-05,2.092452120688178e-05
Cluster 1,ZBTB40,4.3980956,0.91011345,1.0920498180242736e-05,2.1379266710626982e-05
Cluster 1,PDX1,4.397519,2.277513,1.094951615105889e-05,2.1433752049411535e-05
Cluster 1,CHFR,4.3931923,0.3936,1.116983046208258e-05,2.186264887104783e-05
Cluster 1,BBS5,4.386872,1.0615413,1.1499246593385832e-05,2.2502535217095943e-05
Cluster 1,DOP1B,4.3862658,0.9040981,1.1531319210281328e-05,2.256285212907793e-05
Cluster 1,MBD1,4.3862257,0.8895101,1.1533448849450454e-05,2.2564574141210868e-05
Cluster 1,SLC66A2,4.3798857,0.5873375,1.1874150843564495e-05,2.3226106578540695e-05
Cluster 1,C4BPB,4.3787417,1.2105141,1.1936642646732767e-05,2.3345813160911986e-05
Cluster 1,PCGF6,4.3779263,0.96862644,1.1981388665395657e-05,2.343079017973953e-05
Cluster 1,E2F7,4.3771896,2.3135843,1.2021943420677326e-05,2.3507553252906457e-05
Cluster 1,ERGIC1,4.3770194,0.3602507,1.2031314083617744e-05,2.3523329333257823e-05
Cluster 1,LONRF1,4.3734417,0.808267,1.2230294893436948e-05,2.390978295828563e-05
Cluster 1,TAF9,4.3700166,1.0883821,1.2423702513335297e-05,2.428000216296632e-05
Cluster 1,TLE1,4.3677316,0.5130907,1.2554357808416084e-05,2.4532690542622837e-05
Cluster 1,SERTAD1,4.3648195,0.74992067,1.272278917895351e-05,2.485256612530675e-05
