,group,names,scores,logfoldchanges,pvals,pvals_adj
81076,Strom,HEPACAM2,-13.962417,-4.1446,2.643180621406984e-44,2.526549109004794e-43
81077,Strom,"pEpid26 (mitochondrial genes, MUC4)",-13.963638,-0.81488746,2.598243151252644e-44,2.484465262631902e-43
81078,Strom,REPIN1,-13.97033,-0.43379465,2.3652877925693234e-44,2.2629174676831446e-43
81079,Strom,GMIP,-13.974469,-2.2181702,2.2317242278408115e-44,2.135606633416007e-43
81080,Strom,RNASEH2B,-13.974611,-0.4766504,2.227253829034587e-44,2.1318000935045334e-43
81081,Strom,TSPAN13,-13.977851,-0.3043411,2.128190893034351e-44,2.037433272114859e-43
81082,Strom,NEU4,-13.9930725,-3.5862703,1.718256855714857e-44,1.6464377513626399e-43
81083,Strom,CMTM8,-14.015937,-0.47834188,1.2454328136669318e-44,1.1946990922236734e-43
81084,Strom,SNRNP25,-14.019254,-0.5195375,1.1885719909715117e-44,1.1406601532866734e-43
81085,Strom,KLC4,-14.023273,-0.79329765,1.1231290726659088e-44,1.0780943118901277e-43
81086,Strom,CD8A,-14.026923,-5.4487762,1.0668031756118486e-44,1.0242541048543041e-43
81087,Strom,ALDOA,-14.034147,-0.47193015,9.634793642601256e-45,9.25461913979289e-44
81088,Strom,PLAUR,-14.038039,-1.0576727,9.120154840816413e-45,8.762231782912675e-44
81089,Strom,TK1,-14.041053,-0.8662742,8.740465938167761e-45,8.399308320066097e-44
81090,Strom,GRB2,-14.042331,-0.5143247,8.584276044239245e-45,8.251046763197047e-44
81091,Strom,CAPN15,-14.046233,-0.6919675,8.124142929679067e-45,7.81571803250432e-44
81092,Strom,CENPF,-14.069534,-1.2923353,5.845305074349828e-45,5.634665795724037e-44
81093,Strom,NXPE1,-14.070444,-4.1126337,5.770586682555035e-45,5.563879099896346e-44
81094,Strom,MT-TL1,-14.077307,-1.2474134,5.236777202396766e-45,5.053694333871501e-44
81095,Strom,RP11-386I14.4,-14.088238,-1.3316412,4.4861988856653126e-45,4.3312884267090357e-44
81096,Strom,FAM83G,-14.093109,-2.5734603,4.187132211075124e-45,4.0452557223159265e-44
81097,Strom,AIFM2,-14.095027,-0.7461053,4.074920547071675e-45,3.93772518683537e-44
81098,Strom,FDX1,-14.096317,-0.38988674,4.001113168022508e-45,3.8672661933530637e-44
81099,Strom,RP11-670E13.6,-14.098195,-1.0691266,3.8960778047201605e-45,3.766585649852535e-44
81100,Strom,HDDC3,-14.135028,-0.414527,2.3104104472968157e-45,2.240125111556917e-44
81101,Strom,RPL7A,-14.159738,-0.006166883,1.626005583995758e-45,1.5790166858089384e-44
81102,Strom,TRIM29,-14.159747,-3.6612508,1.6257776455649166e-45,1.5790166858089384e-44
81103,Strom,HLA-DRA,-14.18926,-0.99511415,1.067799257157124e-45,1.0397409999611842e-44
81104,Strom,ACSS1,-14.192105,-0.61576223,1.0253399644486346e-45,9.986220598844691e-45
81105,Strom,B3GNT5,-14.195189,-0.75115675,9.812103762835522e-46,9.558574725704413e-45
81106,Strom,GK5,-14.199864,-0.53566736,9.179017902513571e-46,8.943859812170022e-45
81107,Strom,ADAM8,-14.223713,-4.337679,6.529489434253814e-46,6.367944157128743e-45
81108,Strom,DYRK2,-14.228418,-0.5907511,6.1047028360607785e-46,5.960382317852077e-45
81109,Strom,MPND,-14.236073,-0.62485176,5.471723598158932e-46,5.348399746511176e-45
81110,Strom,B3GNT8,-14.236552,-1.4275634,5.4342972216281405e-46,5.3130167686132636e-45
81111,Strom,PANK1,-14.236889,-1.3473284,5.408198535757039e-46,5.2886951880848664e-45
81112,Strom,ITPR3,-14.243422,-0.44846398,4.925491422118094e-46,4.818831820346188e-45
81113,Strom,BEX2,-14.255092,-1.9661049,4.167541375526329e-46,4.078216726555066e-45
81114,Strom,SLC25A1,-14.261132,-0.4648553,3.822018436631146e-46,3.744332321735384e-45
81115,Strom,"pEpi12 (POLR1D, SAP18, PDCD5)",-14.261483,-1.4301891,3.802848016593688e-46,3.726395015943129e-45
81116,Strom,MFSD2A,-14.26188,-2.362281,3.781287883506499e-46,3.7061073861849706e-45
81117,Strom,ANAPC15,-14.277892,-0.45245332,3.0055401514887885e-46,2.9484539627547085e-45
81118,Strom,HAGHL,-14.285185,-2.1089659,2.706892127357119e-46,2.6566826543372067e-45
81119,Strom,PIP4K2C,-14.291305,-0.8999319,2.479228435336173e-46,2.4337937205311916e-45
