"group","names","p.value","FDR","summary.AUC","AUC.VEGFA.","AUC.Surface.epithelium","AUC.Outer.surface","AUC.Crypt","AUC.FDCSP.epithelium","AUC.Basal.cells"
"Basal cells","UBXN4",0.993436197834517,1,0.319607843137255,0.361244019138756,0.319607843137255,0.374269005847953,0.357825128581925,0.350877192982456,NA
"Basal cells","TPI1",0.985756943014947,1,0.317982456140351,0.535885167464115,0.535294117647059,0.473684210526316,0.398971344599559,0.317982456140351,NA
"Basal cells","HSPE1",0.990369211290914,1,0.317982456140351,0.370813397129187,0.423529411764706,0.47953216374269,0.383541513592946,0.317982456140351,NA
"Basal cells","RPS3A",0.998489546005618,1,0.317413666421749,0.842105263157895,0.880392156862745,0.742690058479532,0.317413666421749,0.475877192982456,NA
"Basal cells","LMO4",0.996067201711037,1,0.315789473684211,0.299043062200957,0.394117647058824,0.450292397660819,0.360764144011756,0.315789473684211,NA
"Basal cells","COX7C",0.988828338064142,1,0.31578947368421,0.586124401913876,0.596078431372549,0.573099415204678,0.404849375459221,0.31578947368421,NA
"Basal cells","IGHA1",0.999462662646561,1,0.314474650991918,0.344497607655502,0.331372549019608,0.263157894736842,0.314474650991918,0.289473684210526,NA
"Basal cells","RPS19",0.998150748279276,1,0.31373989713446,0.794258373205742,0.866666666666667,0.847953216374269,0.31373989713446,0.506578947368421,NA
"Basal cells","TOMM20",0.999267431146028,1,0.31373989713446,0.296650717703349,0.350980392156863,0.327485380116959,0.31373989713446,0.328947368421053,NA
"Basal cells","TYMP",0.996013295182895,1,0.313725490196078,0.370813397129187,0.313725490196078,0.491228070175439,0.349008082292432,0.335526315789474,NA
"Basal cells","RPL17",0.99839070536216,1,0.312270389419544,0.741626794258373,0.801960784313726,0.777777777777778,0.312270389419544,0.482456140350877,NA
"Basal cells","SNRPE",0.99924082789327,1,0.311764705882353,0.303827751196172,0.311764705882353,0.350877192982456,0.312270389419544,0.271929824561404,NA
"Basal cells","SRP14",0.998205676858326,1,0.311535635562087,0.521531100478469,0.511764705882353,0.432748538011696,0.311535635562087,0.5,NA
"Basal cells","GAS5",0.998599972708447,1,0.310800881704629,0.337320574162679,0.443137254901961,0.333333333333333,0.310800881704629,0.322368421052632,NA
"Basal cells","SLC25A5",0.998931503072576,1,0.310800881704629,0.399521531100478,0.486274509803922,0.456140350877193,0.310800881704629,0.37280701754386,NA
"Basal cells","EDF1",0.998829657378807,1,0.310066127847171,0.380382775119617,0.480392156862745,0.426900584795322,0.310066127847171,0.278508771929825,NA
"Basal cells","PNRC1",0.997985847224947,1,0.310066127847171,0.471291866028708,0.443137254901961,0.43859649122807,0.310066127847171,0.412280701754386,NA
"Basal cells","RPL27A",0.998338725930013,1,0.310066127847171,0.710526315789474,0.833333333333333,0.608187134502924,0.310066127847171,0.364035087719298,NA
"Basal cells","ATP5PB",0.999172543586685,1,0.310066127847171,0.296650717703349,0.401960784313726,0.345029239766082,0.310066127847171,0.328947368421053,NA
"Basal cells","RPL3",0.99883919980982,1,0.309331373989713,0.80622009569378,0.849019607843137,0.807017543859649,0.309331373989713,0.471491228070175,NA
"Basal cells","CNBP",0.99921302295951,1,0.309331373989713,0.308612440191388,0.347058823529412,0.321637426900585,0.309331373989713,0.278508771929825,NA
"Basal cells","HNRNPA2B1",0.985249217415078,1,0.308612440191388,0.308612440191388,0.488235294117647,0.467836257309941,0.418074944893461,0.407894736842105,NA
"Basal cells","RPS28",0.99835367435175,1,0.307861866274798,0.767942583732057,0.852941176470588,0.649122807017544,0.307861866274798,0.396929824561404,NA
"Basal cells","SELENOH",0.99929139478082,1,0.307861866274798,0.358851674641148,0.374509803921569,0.374269005847953,0.307861866274798,0.280701754385965,NA
"Basal cells","CHCHD2",0.999254906155089,1,0.30712711241734,0.38755980861244,0.433333333333333,0.321637426900585,0.30712711241734,0.320175438596491,NA
"Basal cells","EIF3H",0.998532863023182,1,0.30712711241734,0.385167464114833,0.370588235294118,0.421052631578947,0.30712711241734,0.31140350877193,NA
"Basal cells","SRSF9",0.999406994739432,1,0.306392358559882,0.320574162679426,0.403921568627451,0.350877192982456,0.306392358559882,0.31359649122807,NA
"Basal cells","TRIR",0.999115687576482,1,0.306392358559882,0.337320574162679,0.366666666666667,0.350877192982456,0.306392358559882,0.274122807017544,NA
