,group,names,scores,logfoldchanges,pvals,pvals_adj
27197,Fibro,UNC5B,19.366734,2.7634425,1.4731230130354886e-83,4.0533827241069304e-82
27198,Fibro,SFRP4,19.345043,8.849686,2.24419013112352e-83,6.167176968589726e-82
27199,Fibro,PRMT2,19.342527,0.99674433,2.3563552992097256e-83,6.467201652529826e-82
27200,Fibro,N4BP2L2,19.30859,0.61811286,4.5482026257816076e-83,1.245919658538478e-81
27201,Fibro,RUFY3,19.306065,2.1168654,4.7760713279085146e-83,1.3075137205220515e-81
27202,Fibro,MRPL51,19.296772,0.629188,5.717000508398888e-83,1.5621415151800545e-81
27203,Fibro,TM2D1,19.287067,1.0391332,6.897775933693135e-83,1.8835932994454655e-81
27204,Fibro,DIXDC1,19.276506,3.0392296,8.460214867497525e-83,2.3073410201325007e-81
27205,Fibro,TP53I13,19.22703,1.4553515,2.198667070912039e-82,5.992613864182297e-81
27206,Fibro,MOXD1,19.226944,5.0384393,2.2022776740118136e-82,5.998677299344198e-81
27207,Fibro,pP04,19.216105,2.109122,2.7139627895285045e-82,7.387782229960549e-81
27208,Fibro,PTGER2,19.200153,2.2618904,3.690070059473935e-82,1.0038567713020165e-80
27209,Fibro,SDK1,19.19854,7.1551347,3.806462816965073e-82,1.0348701233912203e-80
27210,Fibro,SFXN3,19.19674,1.9354517,3.940635000739742e-82,1.0706752297678438e-80
27211,Fibro,ABCA1,19.186016,1.7247362,4.843751470779618e-82,1.3152274225739235e-80
27212,Fibro,TNRC6B,19.168781,0.87732863,6.747000237322338e-82,1.8285764826035405e-80
27213,Fibro,RARRES3,19.14145,0.7507055,1.1404793309316763e-81,3.0851391500865507e-80
27214,Fibro,PPT1,19.137732,0.8671381,1.2248581524464594e-81,3.3092578373400533e-80
27215,Fibro,JAK1,19.111506,0.76758844,2.02541616500639e-81,5.465340551982954e-80
27216,Fibro,TNFRSF12A,19.103315,1.8173661,2.3695032674476582e-81,6.385855567974442e-80
27217,Fibro,CREB5,19.103085,3.0646336,2.3800039046884905e-81,6.410163596933867e-80
27218,Fibro,CLDN11,19.091597,6.483158,2.9656909649648043e-81,7.982651514030266e-80
27219,Fibro,DCBLD1,19.09009,2.6631339,3.0524915606475475e-81,8.21118332678354e-80
27220,Fibro,pEpi04 (sterol biosynthesis),19.060339,0.2784223,5.392427846284099e-81,1.44875892019161e-79
27221,Fibro,PTGR1,19.056997,1.7216061,5.748084952594349e-81,1.5423968562813925e-79
27222,Fibro,TM2D2,19.013893,1.5256056,1.3086957692049111e-80,3.5029666223084083e-79
27223,Fibro,LDHA,19.011047,0.6594869,1.3816588741219456e-80,3.695980184780349e-79
27224,Fibro,RAI14,19.002403,2.7547715,1.6291067705507806e-80,4.3552192243964726e-79
27225,Fibro,DYNC1H1,18.983982,0.91006833,2.3137544253642222e-80,6.181723397445326e-79
27226,Fibro,AMOTL1,18.97977,4.410976,2.5068808335923235e-80,6.689446130674657e-79
27227,Fibro,BCAT1,18.954052,1.954603,4.088589595530356e-80,1.08899898383843e-78
27228,Fibro,CREB3L1,18.934143,1.2508556,5.967811517667955e-80,1.5866020768286513e-78
27229,Fibro,CHL1,18.922022,6.6194854,7.511593966810205e-80,1.9958060777868587e-78
27230,Fibro,SKI,18.912724,1.9536828,8.96059628479556e-80,2.379340665021604e-78
27231,Fibro,WNT2,18.909084,11.080716,9.600770623618735e-80,2.5477655066306935e-78
27232,Fibro,MTDH,18.903086,0.6058174,1.0757457199530742e-79,2.8529672947922153e-78
27233,Fibro,MYO1C,18.888376,1.2214309,1.4215061262605534e-79,3.7653383204901634e-78
27234,Fibro,EXT1,18.881294,2.0697093,1.625521860085697e-79,4.30047904329029e-78
27235,Fibro,WDR45,18.857267,1.368827,2.561208186641712e-79,6.759403215501621e-78
27236,Fibro,FAT4,18.854828,6.171987,2.6820695039437357e-79,7.074060467379206e-78
27237,Fibro,ST13,18.854372,0.62239563,2.7053348186430166e-79,7.131078052406032e-78
27238,Fibro,PHLDB2,18.843258,3.861565,3.337802228007161e-79,8.792864031199387e-78
27239,Fibro,AIDA,18.834103,1.2514753,3.9679452732502706e-79,1.044650896087702e-77
27240,Fibro,HACD4,18.829185,1.692888,4.354031736736128e-79,1.1442088744955258e-77
27241,Fibro,AHNAK2,18.825373,3.6788223,4.678970324192162e-79,1.228854329925274e-77
27242,Fibro,OPTN,18.82002,0.92725515,5.176474378118813e-79,1.3586911099680925e-77
27243,Fibro,CD34,18.819311,3.1950948,5.246309139282837e-79,1.3761863767663016e-77
27244,Fibro,NRBP1,18.80427,1.126335,6.967443860661238e-79,1.824349093630609e-77
27245,Fibro,FLYWCH2,18.79019,1.4578862,9.085287163629168e-79,2.3760084532700765e-77
27246,Fibro,LIX1L,18.786144,1.7112625,9.805038172204229e-79,2.5626911966747793e-77
27247,Fibro,GTF2I,18.78296,0.8680084,1.0411111275791726e-78,2.7194551492988383e-77
27248,Fibro,C4orf27,18.756838,1.5470568,1.7023281573128408e-78,4.4385642954707456e-77
27249,Fibro,PTPRA,18.7518,1.185231,1.8714595464000856e-78,4.876611203328627e-77
27250,Fibro,TXNL1,18.743458,0.82943964,2.1892539892711684e-78,5.701281056777058e-77
27251,Fibro,CASC4,18.732174,1.1946063,2.7064010532163798e-78,7.031119470907043e-77
27252,Fibro,MCFD2,18.729544,1.3349096,2.843455944390167e-78,7.382751060893533e-77
27253,Fibro,PID1,18.720032,2.5653706,3.399451709437657e-78,8.81576206637991e-77
27254,Fibro,ID4,18.692186,3.2137015,5.731568645954924e-78,1.484582610019276e-76
27255,Fibro,PTTG1IP,18.692057,0.8661013,5.745553474002535e-78,1.48731486520202e-76
27256,Fibro,LBH,18.685658,1.3294137,6.477569986554928e-78,1.6758050457744792e-76
27257,Fibro,YIPF5,18.682026,1.2722306,6.933628050865447e-78,1.7927197688026182e-76
